Freq.	V(vo)
1.90546071796328e+03	(-2.15860486654377e+01dB,-8.58786655441635e+01°)
1.99526231496892e+03	(-2.19841482697820e+01dB,-8.60700130195100e+01°)
2.08929613085408e+03	(-2.23824143570007e+01dB,-8.62531243207288e+01°)
2.18776162394960e+03	(-2.27808324015399e+01dB,-8.64283750295650e+01°)
2.29086765276782e+03	(-2.31793891353963e+01dB,-8.65961256959718e+01°)
2.39883291901954e+03	(-2.35780724408992e+01dB,-8.67567223937026e+01°)
2.51188643150963e+03	(-2.39768712523559e+01dB,-8.69104972716517e+01°)
2.63026799189543e+03	(-2.43757754658763e+01dB,-8.70577690988067e+01°)
2.75422870333822e+03	(-2.47747758567341e+01dB,-8.71988438010705e+01°)
2.88403150312666e+03	(-2.51738640036687e+01dB,-8.73340149885489e+01°)
3.01995172040208e+03	(-2.55730322195719e+01dB,-8.74635644721907e+01°)
3.16227766016844e+03	(-2.59722734880430e+01dB,-8.75877627689255e+01°)
3.31131121482598e+03	(-2.63715814053344e+01dB,-8.77068695946597e+01°)
3.46736850452539e+03	(-2.67709501272468e+01dB,-8.78211343446801e+01°)
3.63078054770109e+03	(-2.71703743205627e+01dB,-8.79307965611754e+01°)
3.80189396320569e+03	(-2.75698491186435e+01dB,-8.80360863877215e+01°)
3.98107170553506e+03	(-2.79693700808415e+01dB,-8.81372250106959e+01°)
4.16869383470344e+03	(-2.83689331554060e+01dB,-8.82344250876813e+01°)
4.36515832240175e+03	(-2.87685346455902e+01dB,-8.83278911630036e+01°)
4.57088189614885e+03	(-2.91681711786874e+01dB,-8.84178200706201e+01°)
4.78630092322648e+03	(-2.95678396777479e+01dB,-8.85044013246277e+01°)
5.01187233627283e+03	(-2.99675373357480e+01dB,-8.85878174977129e+01°)
5.24807460249784e+03	(-3.03672615920020e+01dB,-8.86682445879012e+01°)
5.49540873857636e+03	(-3.07670101106251e+01dB,-8.87458523739976e+01°)
5.75439937337169e+03	(-3.11667807608705e+01dB,-8.88208047601338e+01°)
6.02559586074371e+03	(-3.15665715991806e+01dB,-8.88932601098583e+01°)
6.30957344480207e+03	(-3.19663808528030e+01dB,-8.89633715702208e+01°)
6.60693448007610e+03	(-3.23662069048384e+01dB,-8.90312873863150e+01°)
6.91830970918952e+03	(-3.27660482805938e+01dB,-8.90971512067510e+01°)
7.24435960075006e+03	(-3.31659036351309e+01dB,-8.91611023805343e+01°)
7.58577575029200e+03	(-3.35657717419039e+01dB,-8.92232762458340e+01°)
7.94328234724299e+03	(-3.39656514823938e+01dB,-8.92838044111227e+01°)
8.31763771102689e+03	(-3.43655418366506e+01dB,-8.93428150291705e+01°)
8.70963589956100e+03	(-3.47654418746680e+01dB,-8.94004330643787e+01°)
